,ts_name,run,forecast_type,error_metric,error,level
143,NT-Male-Remanded,1,adjusted,SMAPE,8.144936310646044,4
144,NT-Male-Sentenced,1,original,MASE,0.8429082491603558,4
145,NT-Male-Sentenced,1,adjusted,MASE,0.7289335542929288,4
146,NT-Male-Sentenced,1,original,SMAPE,2.378316169682424,4
147,NT-Male-Sentenced,1,adjusted,SMAPE,2.079288599241558,4
148,QLD-Female-Remanded,1,original,MASE,5.379610655737739,4
149,QLD-Female-Remanded,1,adjusted,MASE,5.617430532786886,4
150,QLD-Female-Remanded,1,original,SMAPE,17.292378756261005,4
151,QLD-Female-Remanded,1,adjusted,SMAPE,18.133365190446018,4
152,QLD-Female-Sentenced,1,original,MASE,4.0671990157869224,4
153,QLD-Female-Sentenced,1,adjusted,MASE,5.228439080226903,4
154,QLD-Female-Sentenced,1,original,SMAPE,12.608724553775977,4
155,QLD-Female-Sentenced,1,adjusted,SMAPE,15.901968597166928,4
156,QLD-Male-Remanded,1,original,MASE,5.662750504735145,4
157,QLD-Male-Remanded,1,adjusted,MASE,7.003916352370688,4
158,QLD-Male-Remanded,1,original,SMAPE,11.078343554472179,4
159,QLD-Male-Remanded,1,adjusted,SMAPE,13.9983920569073,4
160,QLD-Male-Sentenced,1,original,MASE,7.143123481110043,4
161,QLD-Male-Sentenced,1,adjusted,MASE,1.7175273805147073,4
162,QLD-Male-Sentenced,1,original,SMAPE,9.34419882310283,4
163,QLD-Male-Sentenced,1,adjusted,SMAPE,2.3638815205600463,4
164,SA-Female-Remanded,1,original,MASE,3.12,4
165,SA-Female-Remanded,1,adjusted,MASE,4.014484165714286,4
166,SA-Female-Remanded,1,original,SMAPE,16.685116054585276,4
167,SA-Female-Remanded,1,adjusted,SMAPE,22.164262677293994,4
168,SA-Female-Sentenced,1,original,MASE,4.890243902437939,4
169,SA-Female-Sentenced,1,adjusted,MASE,4.14528899390244,4
170,SA-Female-Sentenced,1,original,SMAPE,15.665225594755828,4
171,SA-Female-Sentenced,1,adjusted,SMAPE,13.478025746612216,4
172,SA-Male-Remanded,1,original,MASE,4.97665973244003,4
173,SA-Male-Remanded,1,adjusted,MASE,4.61688941576087,4
174,SA-Male-Remanded,1,original,SMAPE,12.039510474321116,4
